ELEKEIROZ S/A,ELEK3
ELEKEIROZ S/A,ELEK4
ELETROBRAS,ELET3
ELETROBRAS,ELET5
ELETROBRAS,ELET6
ELEVA,ELEV3
AES ELETROPAULO,ELPL3
AES ELETROPAULO,ELPL4
AES ELETROPAULO,ELPL5
AES ELETROPAULO,ELPL6
ELUMA,ELUM3
ELUMA,ELUM4
EMAE,EMAE4
EMBRAER,EMBR3
ENAUTA PART,ENAT3
EDP ENERGIAS DO BRASIL S/A,ENBR3
ENERSUL,ENER3
ENERSUL,ENER5
ENERSUL,ENER6
ENEVA,ENEV3
ENERGISA,ENGI11
ENERGISA,ENGI3
ENERGISA,ENGI4
ENERGISA MT,ENMT3
ENERGISA MT,ENMT4
EQTL PARA,EQPA3
EQTL PARA,EQPA5
EQTL PARA,EQPA6
EQTL PARA,EQPA7
EQUATORIAL ENERGIA S.A.,EQTL3
ESCELSA,ESCE3
YDUQS PART,ESTC11
YDUQS PART,ESTC3
YDUQS PART,ESTC4
ESTRELA,ESTR3
ESTRELA,ESTR4
ETERNIT,ETER3
ETERNIT,ETER4
EUCATEX,EUCA3
EUCATEX,EUCA4
Even,EVEN3
EZTec,EZTC3
FIBAM,FBMC3
FIBAM,FBMC4
FERTIBRAS S/A,FBRA4
FICAP,FCAP3
FICAP,FCAP4
FERBASA,FESA3
FERBASA,FESA4
FOSFERTIL,FFTL3
FOSFERTIL,FFTL4
FERREIRA GUIMARAES,FGUI3
FERREIRA GUIMARAES,FGUI4
Fer Heringer,FHER3
Fibria,FIBR3
INVESTIMENTOS BEMGE,FIGE3
INVESTIMENTOS BEMGE,FIGE4
TAURUS ARMAS,FJTA3
TAURUS ARMAS,FJTA4
CATAG LEOPOLDINA,FLCL3
CATAG LEOPOLDINA,FLCL5
CATAG LEOPOLDINA,FLCL6
FLEURY,FLRY3
FRAS-LE S.A.,FRAS3
FRAS-LE S.A.,FRAS4
Metalfrio,FRIO3
POMIFRUTAS,FRTA3
FAB TECIDOS C RENAUX,FTRX3
FAB TECIDOS C RENAUX,FTRX4
CIMOB,GAFP3
CIMOB,GAFP4
EMEEGE ESCAPAMENTOS,GALO3
EMEEGE ESCAPAMENTOS,GALO4
GAZOLA SA INDUSTRIA METALURGICA,GAZO3
GAZOLA SA INDUSTRIA METALURGICA,GAZO4
BIOTOSCANA,GBIO33
"DUKE ENERGY INT,GERACAO PARANAPANEMA SA",GEPA3
"DUKE ENERGY INT,GERACAO PARANAPANEMA SA",GEPA4
AES TIETE SA,GETI3
AES TIETE SA,GETI4
GAFISA,GFSA3
GERDAU S.A.,GGBR3
GERDAU S.A.,GGBR4
VIAVAREJO,GLOB4
INTERMEDICA,GNDI3
METALURGICA GERDAU,GOAU3
METALURGICA GERDAU,GOAU4
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4
GPC PARTICIPACOES SA,GPCP3
"GP INVESTMENTS, LTD",GPIV33
GRENDENE SA,GRND3
GRANOLEO S/A,GRNL4
Generalshopp,GSHP3
GUARARAPES CONFECCOES,GUAR3
GUARARAPES CONFECCOES,GUAR4
GVT HOLDING,GVTT3
HAGA,HAGA3
HAGA,HAGA4
HAPVIDA,HAPV3
Helbor,HBOR3
CIA HABITASUL,HBTS5
HERCULES S/A,HETA3
HERCULES S/A,HETA4
CIA HERING,HGTX3
CIA HERING,HGTX4
HOTEIS OTHON S.A.,HOOT4
PETRORIO,HRTP3
HYPERA,HYPE3
CIMENTO ITAU CORUMBA,ICPI3
IDEIASNET,IDNT3
Indusval,IDVL11
Indusval,IDVL3
Indusval,IDVL4
INEPAR ENERGIA,IENG3
INEPAR ENERGIA,IENG5
GRADIENTE,IGBR3
GRADIENTE,IGBR5
GRADIENTE,IGBR6
IGUATEMI,IGTA3
CIA. IGUACU DE CAFE SOLUVEL,IGUA3
CIA. IGUACU DE CAFE SOLUVEL,IGUA5
CIA. IGUACU DE CAFE SOLUVEL,IGUA6
LINHAS CIRCULO,ILLS4
YARA BRASIL FERTILIZANTES S.A.,ILMD3
YARA BRASIL FERTILIZANTES S.A.,ILMD4
COMPANHIA DOCAS DE IMBITUBA,IMBI3
COMPANHIA DOCAS DE IMBITUBA,IMBI4
IMC HOLDINGS,IMCH3
INEPAR S/A,INEP3
INEPAR S/A,INEP4
ATOMPAR,INET3
GAFISA,INHA3
IRBBRASIL RE,IRBR3
ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO,ITEC3
ITAUSA,ITSA3
ITAUSA,ITSA4
ITAUUNIBANCO,ITUB3
ITAUUNIBANCO,ITUB4
BHG,IVTT3
J B DUARTE,JBDU3
J B DUARTE,JBDU4
JBS,JBSS3
JARAGUA FABRIL,JFAB4
JOAO FORTES ENGENHARIA S.A.,JFEN3
JHSF Part,JHSF3
JOSAPAR S/A,JOPA3
JOSAPAR S/A,JOPA4
JEREISSATI PARTICIPACOES,JPSA3
JULIO SIMOES,JSLG3
KEPLER WEBER SA,KEPL3
KLABIN,KLBN11
KLABIN,KLBN3
KLABIN,KLBN4
COGNA,KROT11
COGNA,KROT3
COGNA,KROT4
